INFO:root:Processed IP 10.124.0.155: Fraud Score: 0, Risk: low
INFO:root:Processed IP 31.171.153.66: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 146.70.116.130: Fraud Score: 10, Risk: low
INFO:root:Processed IP 10.124.2.35: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.212: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.116.162: Fraud Score: 10, Risk: low
INFO:root:Processed IP 10.124.2.37: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.116.98: Fraud Score: 10, Risk: low
INFO:root:Processed IP 10.124.2.36: Fraud Score: 0, Risk: low
INFO:root:Processed IP 31.171.154.50: Fraud Score: 15, Risk: low
INFO:root:Processed IP 10.124.0.220: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.74: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.156: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.99: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.221: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.24.11.159: Fraud Score: 0, Risk: low
INFO:root:Processed IP 103.214.20.50: Fraud Score: 23, Risk: medium
INFO:root:Processed IP 103.216.220.18: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 103.216.220.34: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 103.214.20.130: Fraud Score: 23, Risk: medium
INFO:root:Processed IP 10.124.1.54: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.53: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.55: Fraud Score: 0, Risk: low
INFO:root:Processed IP 103.108.229.66: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 103.108.229.50: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 103.108.231.50: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 10.124.0.36: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.200.2: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 10.124.1.57: Fraud Score: 0, Risk: low
INFO:root:Processed IP 103.108.231.66: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 10.124.0.42: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.37: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.214: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.141.194: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 146.70.200.194: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 103.136.147.3: Fraud Score: 38, Risk: medium
INFO:root:Processed IP 10.124.0.215: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.141: Fraud Score: 0, Risk: low
INFO:root:Processed IP 103.136.147.129: Fraud Score: 38, Risk: medium
INFO:root:Processed IP 103.136.147.65: Fraud Score: 38, Risk: medium
INFO:root:Processed IP 10.124.2.42: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.43: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.211: Fraud Score: 0, Risk: low
INFO:root:Processed IP 91.90.123.2: Fraud Score: 12, Risk: low
INFO:root:Processed IP 194.110.115.34: Fraud Score: 12, Risk: low
INFO:root:Processed IP 103.136.147.197: Fraud Score: 38, Risk: medium
INFO:root:Processed IP 10.124.0.225: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.44: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.188.130: Fraud Score: 21, Risk: medium
INFO:root:Processed IP 194.110.115.2: Fraud Score: 12, Risk: low
INFO:root:Processed IP 146.70.188.194: Fraud Score: 21, Risk: medium
INFO:root:Processed IP 10.124.2.31: Fraud Score: 0, Risk: low
INFO:root:Processed IP 169.150.198.66: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.0.194: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.32: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.226: Fraud Score: 0, Risk: low
INFO:root:Processed IP 149.78.184.194: Fraud Score: 5, Risk: low
INFO:root:Processed IP 169.150.198.79: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.0.231: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.198.66: Fraud Score: 25, Risk: medium
